ISO,Rank2013,FR_Country,EN_country,ES_country,Score 2013,Zone
FIN,1,Finlande,Finland,Finlandia,"6,38",UE Balkans
NLD,2,Pays-Bas,Netherlands,Países Bajos,"6,48",UE Balkans
NOR,3,Norvège,Norway,Noruega,"6,52",UE Balkans
LUX,4,Luxembourg,Luxembourg,Luxemburgo,"6,68",UE Balkans
AND,5,Andorre,Andorra,Andorra,"6,82",UE Balkans
DNK,6,Danemark,Denmark,Dinamarca,"7,08",UE Balkans
LIE,7,Liechtenstein,Liechtenstein,Liechtenstein,"7,35",UE Balkans
NZL,8,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"8,38",Asie-Pacifique
ISL,9,Islande,Iceland,Islandia,"8,49",UE Balkans
SWE,10,Suède,Sweden,Suecia,"9,23",UE Balkans
EST,11,Estonie,Estonia,Estonia,"9,26",UE Balkans
AUT,12,Autriche,Austria,Austria,"9,4",UE Balkans
JAM,13,Jamaïque,Jamaica,Jamaica,"9,88",Amériques
CHE,14,Suisse,Switzerland,Suiza,"9,94",UE Balkans
IRL,15,Irlande,Ireland,Irlanda,"10,06",UE Balkans
CZE,16,République tchèque,Czech Republic,República Checa,"10,17",UE Balkans
DEU,17,Allemagne,Germany,Alemania,"10,24",UE Balkans
CRI,18,Costa Rica,Costa Rica,Costa Rica,"12,08",Amériques
NAM,19,Namibie,Namibia,Namibia,"12,5",Afrique
CAN,20,Canada,Canada,Canadá,"12,69",Amériques
BEL,21,Belgique,Belgium,Bélgica,"12,94",UE Balkans
POL,22,Pologne,Poland,Polonia,"13,11",UE Balkans
SVK,23,Slovaquie,Slovakia,Eslovaquia,"13,25",UE Balkans
CYP,24,Chypre,Cyprus,Chipre,"13,83",UE Balkans
CPV,25,Cap-Vert,Cape Verde,Cabo Verde,"14,33",Afrique
AUS,26,Australie,Australia,Australia,"15,24",Asie-Pacifique
URY,27,Uruguay,Uruguay,Uruguay,"15,92",Amériques
PRT,28,Portugal,Portugal,Portugal,"16,75",UE Balkans
GBR,29,Royaume-Uni,United Kingdom,Reino Unido,"16,89",UE Balkans
GHA,30,Ghana,Ghana,Ghana,"17,27",Afrique
SUR,31,Surinam,Suriname,Surinam,"18,19",Amériques
USA,32,États-Unis,United States,Estados Unidos,"18,22",Amériques
LTU,33,Lituanie,Lithuania,Lituania,"18,24",UE Balkans
XCD,34,OECS,OECS,OECS,"19,72",Amériques
SVN,35,Slovénie,Slovenia,Eslovenia,"20,49",UE Balkans
ESP,36,Espagne,Spain,España,"20,5",UE Balkans
FRA,37,France,France,Francia,"21,6",UE Balkans
SLV,38,El Salvador,El Salvador,El Salvador,"22,86",Amériques
LVA,39,Lettonie,Latvia,Letonia,"22,89",UE Balkans
BWA,40,Botswana,Botswana,Botsuana,"22,91",Afrique
PNG,41,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papúa Nueva Guinea,"22,97",Asie-Pacifique
ROU,42,Roumanie,Romania,Rumania,"23,05",UE Balkans
NER,43,Niger,Niger,Niger,"23,08",Afrique
TTO,44,Trinidad-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"23,12",Amériques
MLT,45,Malte,Malta,Malta,"23,3",UE Balkans
BFA,46,Burkina Faso,Burkina Faso,Burkina Faso,"23,7",Afrique
TWN,47,Taïwan,Taiwan,Taiwán,"23,82",Asie-Pacifique
WSM,48,Samoa,Samoa,Samoa,"23,84",Asie-Pacifique
HTI,49,Haïti,Haiti,Haití,"24,09",Amériques
KOR,50,Corée du Sud,South Korea,Corea del Sur,"24,48",Asie-Pacifique
COM,51,Comores,Comoros,Comoras,"24,52",Afrique
ZAF,52,Afrique du Sud,South Africa,Sudáfrica,"24,56",Afrique
JPN,53,Japon,Japan,Japón,"25,17",Asie-Pacifique
ARG,54,Argentine,Argentina,Argentina,"25,67",Amériques
MDA,55,Moldavie,Moldova,Moldavia,"26,01",EEAC
HUN,56,Hongrie,Hungary,Hungría,"26,09",UE Balkans
ITA,57,Italie,Italy,Italia,"26,11",UE Balkans
HKG,58,Hong-Kong,Hong Kong,Hong Kong,"26,16",Asie-Pacifique
SEN,59,Sénégal,Senegal,Senegal,"26,19",Afrique
CHL,60,Chili,Chile,Chile,"26,24",Amériques
SLE,61,Sierra Leone,Sierra Leone,Sierra Leona,"26,35",Afrique
MUS,62,Maurice,Mauritius,Mauricio,"26,47",Afrique
SRB,63,Serbie,Serbia,Serbia,"26,59",UE Balkans
HRV,64,Croatie,Croatia,Croacia,"26,61",UE Balkans
CAF,65,République centrafricaine,Central African Republic,República Centroafricana,"26,61",Afrique
TON,66,Tonga,Tonga,Tonga,"26,7",Asie-Pacifique
MRT,67,Mauritanie,Mauritania,Mauritania,"26,76",Afrique
BIH,68,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"26,86",UE Balkans
GUY,69,Guyana,Guyana,Guyana,"27,08",Amériques
TZA,70,Tanzanie,Tanzania,Tanzania,"27,34",Afrique
KEN,71,Kenya,Kenya,Kenia,"27,8",Afrique
ZMB,72,Zambie,Zambia,Zambia,"27,93",Afrique
MOZ,73,Mozambique,Mozambique,Mozambique,"28,01",Afrique
ARM,74,Arménie,Armenia,Armenia,"28,04",EEAC
MWI,75,Malawi,Malawi,Malaui,"28,18",Afrique
COG,76,Congo,Congo,República del Congo,"28,2",Afrique
KWT,77,Koweït,Kuwait,Kuwait,"28,28",MENA
NIC,78,Nicaragua,Nicaragua,Nicaragua,"28,31",Amériques
BEN,79,Bénin,Benin,Benín,"28,33",Afrique
DOM,80,République dominicaine,Dominican Republic,República Dominicana,"28,34",Amériques
LSO,81,Lesotho,Lesotho,Lesoto,"28,36",Afrique
BTN,82,Bhoutan,Bhutan,Bután,"28,42",Asie-Pacifique
TGO,83,Togo,Togo,Togo,"28,45",Afrique
GRC,84,Grèce,Greece,Grecia,"28,46",UE Balkans
XKO,85,Kosovo,Kosovo,Kosovo,"28,47",UE Balkans
GIN,86,Guinée,Guinea,Guinea,"28,49",Afrique
BGR,87,Bulgarie,Bulgaria,Bulgaria,"28,58",UE Balkans
MDG,88,Madagascar,Madagascar,Madagascar,"28,62",Afrique
GAB,89,Gabon,Gabon,Gabón,"28,69",Afrique
TLS,90,Timor-Leste,East Timor,Timor Oriental,"28,72",Asie-Pacifique
PRY,91,Paraguay,Paraguay,Paraguay,"28,78",Amériques
GNB,92,Guinée-Bissau,Guinea-Bissau,Guinea-Bisáu,"28,94",Afrique
SYC,93,Seychelles,Seychelles,Seychelles,"29,19",Afrique
CTU,94,Chypre (partie Nord),Cyprus North,Chipre Norte,"29,34",UE Balkans
GTM,95,Guatemala,Guatemala,Guatemala,"29,39",Amériques
CIV,96,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"29,77",Afrique
LBR,97,Liberia,Liberia,Liberia,"29,89",Afrique
MNG,98,Mongolie,Mongolia,Mongolia,"29,93",Asie-Pacifique
MLI,99,Mali,Mali,Malí,"30,03",Afrique
GEO,100,Géorgie,Georgia,Georgia,"30,09",EEAC
LBN,101,Liban,Lebanon,Líbano,"30,15",MENA
ALB,102,Albanie,Albania,Albania,"30,88",UE Balkans
MDV,103,Maldives,Maldives,Maldivas,"31,1",Asie-Pacifique
UGA,104,Ouganda,Uganda,Uganda,"31,69",Afrique
