ISO,Rank2014,FR_Country,EN_country,ES_country,Score 2014,Progression RANK,Rank 2013,Score 2013,Zone,Diff Prog Score ,Score Exa,ScoreA
FIN,1,Finlande,Finland,Finlandia,"6,4",0,1,"6,38",UE Balkans,"0,020000000000001",,
NLD,2,Pays-Bas,Netherlands,Países Bajos,"6,46",0,2,"6,48",UE Balkans,"-0,020000000000001",,
NOR,3,Norvège,Norway,Noruega,"6,52",0,3,"6,52",UE Balkans,0,,
LUX,4,Luxembourg,Luxembourg,Luxemburgo,"6,7",0,4,"6,68",UE Balkans,"0,020000000000001",,
AND,5,Andorre,Andorra,Andorra,"6,82",0,5,"6,82",UE Balkans,0,,
LIE,6,Liechtenstein,Liechtenstein,Liechtenstein,"7,02",1,7,"7,35",UE Balkans,"-0,33",,
DNK,7,Danemark,Denmark,Dinamarca,"7,43",-1,6,"7,08",UE Balkans,"0,35",,
ISL,8,Islande,Iceland,Islandia,"8,5",1,9,"8,49",UE Balkans,"0,01",,
NZL,9,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"8,55",-1,8,"8,38",Asie-Pacifique,"0,17",,
SWE,10,Suede,Sweden,Suecia,"8,98",0,10,"9,23",UE Balkans,"-0,25",,
EST,11,Estonie,Estonia,Estonia,"9,63",0,11,"9,26",UE Balkans,"0,370000000000001",,
AUT,12,Autriche,Austria,Austria,"10,01",0,12,"9,4",UE Balkans,"0,609999999999999",,
CZE,13,République tchèque,Czech Republic,Repœblica Checa,"10,07",3,16,"10,17",UE Balkans,"-0,1",,
DEU,14,Allemagne,Germany,Alemania,"10,23",3,17,"10,24",UE Balkans,"-0,01",,
CHE,15,Suisse,Switzerland,Suiza,"10,47",-1,14,"9,94",UE Balkans,"0,530000000000001",,
IRL,16,Irlande,Ireland,Irlanda,"10,87",-1,15,"10,06",UE Balkans,"0,809999999999999",,
JAM,17,Jamaïque,Jamaica,Jamaica,"10,9",-4,13,"9,88",Amériques,"1,02",,
CAN,18,Canada,Canada,Canadà,"10,99",2,20,"12,69",Amériques,"-1,7",,
POL,19,Pologne,Poland,Polonia,"11,03",3,22,"13,11",UE Balkans,"-2,08",,
SVK,20,Slovaquie,Slovakia,Eslovaquia,"11,39",3,23,"13,25",UE Balkans,"-1,86",,
CRI,21,Costa Rica,Costa Rica,Costa Rica,"12,23",-3,18,"12,08",Amériques,"0,15",,
NAM,22,Namibie,Namibia,Namibia,"12,5",-3,19,"12,5",Afrique,0,,
BEL,23,Belgique,Belgium,Bélgica,"12,8",-2,21,"12,94",UE Balkans,"-0,139999999999999",,
CPV,24,Cap-Vert,Cape Verde,Cabo Verde,"14,32",1,25,"14,33",Afrique,"-0,01",,
CYP,25,Chypre,Cyprus,Chipre,"14,45",-1,24,"13,83",UE Balkans,"0,619999999999999",,
URY,26,Uruguay,Uruguay,Uruguay,"16,08",1,27,"15,92",Amériques,"0,159999999999998",,
GHA,27,Ghana,Ghana,Ghana,"16,29",3,30,"17,27",Afrique,"-0,98",,
AUS,28,Australie,Australia,Australia,"16,91",-2,26,"15,24",Asie-Pacifique,"1,67",,
BLZ,29,Bélize,Belize,Belice,"17,05",#VALEUR !,NA,,Amériques,"17,05",,
PRT,30,Portugal,Portugal,Portugal,"17,73",-2,28,"16,75",UE Balkans,"0,98",,
SUR,31,Surinam,Suriname,Surinam,"18,2",0,31,"18,19",Amériques,"0,009999999999998",,
LTU,32,Lituanie,Lithuania,Lituania,"19,2",1,33,"18,24",UE Balkans,"0,960000000000001",,
GBR,33,Royaume-Uni,United Kingdom,Reino Unido,"19,93",-4,29,"16,89",UE Balkans,"3,04",,
SVN,34,Slovénie,Slovenia,Eslovenia,"20,38",1,35,"20,49",UE Balkans,"-0,109999999999999",,
ESP,35,Espagne,Spain,España,"20,63",1,36,"20,5",UE Balkans,"0,129999999999999",,
XCD,36,OECS,OECS,OECS,"20,81",-2,34,"19,72",Amériques,"1,09",,
LVA,37,Lettonie,Latvia,Letonia,"21,1",2,39,"22,89",UE Balkans,"-1,79",,
SLV,38,El Salvador,El Salvador,El Salvador,"21,57",0,38,"22,86",Amériques,"-1,29",,
FRA,39,France,France,Francia,"21,89",-2,37,"21,6",UE Balkans,"0,289999999999999",,
WSM,40,Samoa,Samoa,Samoa,"22,02",8,48,"23,84",Asie-Pacifique,"-1,82",,
BWA,41,Botswana,Botswana,Botsuana,"22,91",-1,40,"22,91",Afrique,0,,
ZAF,42,Afrique du Sud,South Africa,Sudàfrica,"23,19",10,52,"24,56",Afrique,"-1,37",,
TTO,43,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"23,28",1,44,"23,12",Amériques,"0,16",,
PNG,44,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"23,46",-3,41,"22,97",Asie-Pacifique,"0,490000000000002",,
ROU,45,Roumanie,Romania,Rumania,"23,48",-3,42,"23,05",UE Balkans,"0,43",,
USA,46,Etats Unis,United States,Estados Unidos,"23,49",-14,32,"18,22",Amériques,"5,27",,
HTI,47,Haïti,Haiti,Haití,"23,53",2,49,"24,09",Amériques,"-0,559999999999999",,
NER,48,Niger,Niger,Niger,"23,59",-5,43,"23,08",Afrique,"0,510000000000002",,
ITA,49,Italie,Italy,Italia,"23,75",8,57,"26,11",UE Balkans,"-2,36",,
TWN,50,Taïwan,Taiwan,Taiwàn,"23,82",-3,47,"23,82",Asie-Pacifique,0,,
MLT,51,Malte,Malta,Malta,"23,84",-6,45,"23,3",UE Balkans,"0,539999999999999",,
BFA,52,Burkina Faso,Burkina Faso,Burkina Faso,"24,45",-6,46,"23,7",Afrique,"0,75",,
COM,53,Comores,Comoros,Comoras,"24,52",-2,51,"24,52",Afrique,0,,
SRB,54,Serbie,Serbia,Serbia,"25,05",9,63,"26,59",UE Balkans,"-1,54",,
ARG,55,Argentine,Argentina,Argentina,"25,27",-1,54,"25,67",Amériques,"-0,400000000000002",,
MDA,56,Moldavie,Moldova,Moldavia,"25,35",-1,55,"26,01",EEAC,"-0,66",,
KOR,57,Corée du Sud,South Korea,Corea del Sur,"25,66",-7,50,"24,48",Asie-Pacifique,"1,18",,
CHL,58,Chili,Chile,Chile,"25,8",2,60,"26,24",Amériques,"-0,439999999999998",,
JPN,59,Japon,Japan,Japón,"26,02",-6,53,"25,17",Asie-Pacifique,"0,849999999999998",,
MRT,60,Mauritanie,Mauritania,Mauritania,"26,53",7,67,"26,76",Afrique,"-0,23",,
HKG,61,Hong-Kong,Hong Kong,Hong Kong,"26,55",-3,58,"26,16",Asie-Pacifique,"0,390000000000001",,
