ISO,Rank2018,FR_Country,EN_country,ES_country,Score 2018,Progression RANK,Rank 2017,Score 2017,Zone,Diff Prog Score,Score Exa,Score A
NOR,1,Norvège,Norway,Noruega,"7,63",0,1,"7,60",UE Balkans,"0,036427824180422",0,"7,63"
SWE,2,Suede,Sweden,Suecia,"8,31",0,2,"8,27",UE Balkans,"0,041776546885377",0,"8,31"
NLD,3,Pays-Bas,Netherlands,Países Bajos,"10,01",2,5,"11,28",UE Balkans,"-1,27385665985738",0,"10,01"
FIN,4,Finlande,Finland,Finlandia,"10,26",-1,3,"8,92",UE Balkans,"1,34619181435426",0,"10,26"
CHE,5,Suisse,Switzerland,Suiza,"11,27",2,7,"12,13",UE Balkans,"-0,867100143422107",0,"11,27"
JAM,6,Jamaïque,Jamaica,Jamaica,"11,33",2,8,"12,73",Amériques,"-1,39186812243794",0,"11,33"
BEL,7,Belgique,Belgium,Bélgica,"13,16",2,9,"12,75",UE Balkans,"0,414543609457883",0,"13,16"
NZL,8,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"13,62",5,13,"13,98",Asie-Pacifique,"-0,362243963890174",0,"13,62"
DNK,9,Danemark,Denmark,Dinamarca,"13,99",-5,4,"10,36",UE Balkans,"3,63521638293825",45,"6,24"
CRI,10,Costa Rica,Costa Rica,Costa Rica,"14,01",-4,6,"11,93",Amériques,"2,08626177385691",0,"14,01"
AUT,11,Autriche,Austria,Austria,"14,04",0,11,"13,47",UE Balkans,"0,568358145211802",0,"14,04"
EST,12,Estonie,Estonia,Estonia,"14,08",0,12,"13,55",UE Balkans,"0,536977833983748",0,"14,08"
ISL,13,Islande,Iceland,Islandia,"14,10",-3,10,"13,03",UE Balkans,"1,0730397315813",0,"14,1"
PRT,14,Portugal,Portugal,Portugal,"14,17",4,18,"15,77",UE Balkans,"-1,59985363114623","6,9","14,17"
DEU,15,Allemagne,Germany,Alemania,"14,39",1,16,"14,97",UE Balkans,"-0,581336782088682","28,3","10,9"
IRL,16,Irlande,Ireland,Irlanda,"14,59",-2,14,"14,08",UE Balkans,"0,506412615657846",0,"14,59"
LUX,17,Luxembourg,Luxembourg,Luxemburgo,"14,72",-2,15,"14,72",UE Balkans,"4,26013841057227E-05",0,"14,72"
CAN,18,Canada,Canada,Canadà,"15,28",4,22,"16,53",Amériques,"-1,24703486916841","13,9","14,92"
AUS,19,Australie,Australia,Australia,"15,46",0,19,"16,02",Asie-Pacifique,"-0,559982596887121",0,"15,46"
URY,20,Uruguay,Uruguay,Uruguay,"15,56",5,25,"17,43",Amériques,"-1,86836319255021",0,"15,56"
SUR,21,Surinam,Suriname,Surinam,"16,44",-1,20,"16,07",Amériques,"0,372023145077058",0,"16,44"
WSM,22,Samoa,Samoa,Samoa,"16,69",-1,21,"16,41",Asie-Pacifique,"0,281427884078841",0,"16,69"
GHA,23,Ghana,Ghana,Ghana,"18,41",3,26,"17,95",Afrique,"0,459398448957984",0,"18,41"
LVA,24,Lettonie,Latvia,Letonia,"19,63",4,28,"18,62",UE Balkans,"1,01514999791659",0,"19,63"
CYP,25,Chypre,Cyprus,Chipre,"19,85",5,30,"19,79",UE Balkans,"0,056161881892752",0,"19,85"
NAM,26,Namibie,Namibia,Namibia,"20,24",-2,24,"17,08",Afrique,"3,16680552237592",0,"20,24"
SVK,27,Slovaquie,Slovakia,Eslovaquia,"20,26",-10,17,"15,51",UE Balkans,"4,7522437517083",0,"20,26"
ZAF,28,Afrique du Sud,South Africa,Sudàfrica,"20,39",3,31,"20,12",Afrique,"0,26891967454149",0,"20,39"
CPV,29,Cap-Vert,Cape Verde,Cabo Verde,"20,39",-2,27,"18,02",Afrique,"2,37632950824635",0,"20,39"
LIE,30,Liechtenstein,Liechtenstein,Liechtenstein,"20,49",2,32,"20,31",UE Balkans,"0,185862006074093",0,"20,49"
ESP,31,Espagne,Spain,España,"20,51",-2,29,"18,69",UE Balkans,"1,82420901852085","16,1","20,11"
SVN,32,Slovénie,Slovenia,Eslovenia,"21,69",5,37,"21,70",UE Balkans,"-0,008300661561119",0,"21,69"
FRA,33,France,France,Francia,"21,87",6,39,"22,24",UE Balkans,"-0,366070442243497","28,9","20,11"
CZE,34,République tchèque,Czech Republic,Repœblica Checa,"21,89",-11,23,"16,91",UE Balkans,"4,97190293633746",0,"21,89"
XCD,35,OECS,OECS,OECS,"22,11",3,38,"22,10",Amériques,"0,013242808645796",0,"22,11"
LTU,36,Lituanie,Lithuania,Lituania,"22,20",0,36,"21,37",UE Balkans,"0,832386390466645",0,"22,2"
AND,37,Andorre,Andorra,Andorra,"22,21",-2,35,"21,03",UE Balkans,"1,18683443864969",0,"22,21"
CHL,38,Chili,Chile,Chile,"22,69",-5,33,"20,53",Amériques,"2,15977024694797",0,"22,69"
TTO,39,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"22,79",-5,34,"20,62",Amériques,"2,17663139877445",11,"22,79"
GBR,40,Royaume-Uni,United Kingdom,Reino Unido,"23,25",0,40,"22,26",UE Balkans,"0,991182910607208",0,"23,25"
BFA,41,Burkina Faso,Burkina Faso,Burkina Faso,"23,33",1,42,"23,85",Afrique,"-0,526089719235699",0,"23,33"
TWN,42,Taïwan,Taiwan,Taiwàn,"23,36",3,45,"24,37",Asie-Pacifique,"-1,00544678984751",0,"23,36"
KOR,43,Corée du Sud,South Korea,Corea del Sur,"23,51",20,63,"27,61",Asie-Pacifique,"-4,10285468935758",0,"23,51"
ROU,44,Roumanie,Romania,Rumania,"23,65",2,46,"24,46",UE Balkans,"-0,807968955172559",0,"23,65"
USA,45,Etats Unis,United States,Estados Unidos,"23,73",-2,43,"23,88",Amériques,"-0,144597934757133","37,4","20,32"
ITA,46,Italie,Italy,Italia,"24,12",6,52,"26,26",UE Balkans,"-2,13355925171441","6,9","24,12"
BLZ,47,Bélize,Belize,Belice,"24,55",-6,41,"23,43",Amériques,"1,1141540534715",0,"24,55"
BWA,48,Botswana,Botswana,Botsuana,"25,29",0,48,"24,93",Afrique,"0,355668399977901",11,"25,29"
COM,49,Comores,Comoros,Comoras,"25,30",-5,44,"24,33",Afrique,"0,967381844614671",0,"25,3"
SEN,50,Sénégal,Senegal,Senegal,"25,61",8,58,"26,72",Afrique,"-1,10871115210328",0,"25,61"
TON,51,Tonga,Tonga,Tonga,"25,68",-2,49,"24,97",Asie-Pacifique,"0,714770566632872",0,"25,68"
ARG,52,Argentine,Argentina,Argentina,"26,05",-2,50,"25,07",Amériques,"0,98170561162642","40,1","22,54"
PNG,53,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"26,19",-2,51,"25,07",Asie-Pacifique,"1,1175504636674",11,"26,19"
MDG,54,Madagascar,Madagascar,Madagascar,"26,20",3,57,"26,71",Afrique,"-0,505775427190432","13,9","26,2"
GUY,55,Guyana,Guyana,Guyana,"26,25",5,60,"26,80",Amériques,"-0,546870275910596",0,"26,25"
MUS,56,Maurice,Mauritius,Mauricio,"26,45",0,56,"26,67",Afrique,"-0,222151639396273",0,"26,45"
FJI,57,Fidji,Fiji,Fiyi,"26,55",10,67,"28,64",Asie-Pacifique,"-2,08548400846571",0,"26,55"
POL,58,Pologne,Poland,Polonia,"26,59",-4,54,"26,47",UE Balkans,"0,114272142497889",0,"26,59"
DOM,59,République dominicaine,Dominican Republic,Repœblica Dominicana,"26,79",0,59,"26,76",Amériques,"0,02699775436427",0,"26,79"
HTI,60,Haïti,Haiti,Haití,"26,82",-7,53,"26,36",Amériques,"0,467774470650621",0,"26,82"
GEO,61,Géorgie,Georgia,Georgia,"27,34",3,64,"27,76",EEAC,"-0,41952465708691",0,"27,34"
BIH,62,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"27,37",3,65,"27,83",UE Balkans,"-0,461402841680087",0,"27,37"
NER,63,Niger,Niger,Niger,"27,40",-2,61,"27,21",Afrique,"0,184774560731015","13,9","27,4"
MWI,64,Malawi,Malawi,Malaui,"27,43",6,70,"28,97",Afrique,"-1,54007883407671",0,"27,43"
MLT,65,Malte,Malta,Malta,"27,44",-18,47,"24,76",UE Balkans,"2,68091896537429",45,"23,04"
SLV,66,El Salvador,El Salvador,El Salvador,"27,78",-4,62,"27,24",Amériques,"0,542141442457201",0,"27,78"
