ISO,Rank2019,FR_Country,EN_country,ES_country,AR_country,FA_country,Score 2019,Progression RANK,Rank 2018,Score 2018,Zone
NOR,1,Norvège,Norway,Noruega,النرويج,نروژ,"7,82",0,1,"7,63",UE Balkans
FIN,2,Finlande,Finland,Finlandia,فنلندا,فنلاند,"7,9",2,4,"10,26",UE Balkans
SWE,3,Suede,Sweden,Suecia,السويد,سوئد,"8,31",-1,2,"8,31",UE Balkans
NLD,4,Pays-Bas,Netherlands,Países Bajos,هولندا,هلند,"8,63",-1,3,"10,01",UE Balkans
DNK,5,Danemark,Denmark,Dinamarca,الدنمارك,دانمارک,"9,87",4,9,"13,99",UE Balkans
CHE,6,Suisse,Switzerland,Suiza,سويسرا,سويیس,"10,52",-1,5,"11,27",UE Balkans
NZL,7,Nouvelle-Zélande,New Zealand,Nueva Zelanda,نيوزيلاندا,زلاند نو,"10,75",1,8,"13,62",Asie-Pacifique
JAM,8,Jamaïque,Jamaica,Jamaica,جامايكا,جامائیکا,"11,13",-2,6,"11,33",Amériques
BEL,9,Belgique,Belgium,Bélgica,بلجيكا,بلژیک,"12,07",-2,7,"13,16",UE Balkans
CRI,10,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,کاستاریکا,"12,24",0,10,"14,01",Amériques
EST,11,Estonie,Estonia,Estonia,إستونيا,استونی,"12,27",1,12,"14,08",UE Balkans
PRT,12,Portugal,Portugal,Portugal,البرتغال,پرتغال,"12,63",2,14,"14,17",UE Balkans
DEU,13,Allemagne,Germany,Alemania,ألمانيا,آلمان,"14,6",2,15,"14,39",UE Balkans
ISL,14,Islande,Iceland,Islandia,أيسلندا,ایسلند,"14,71",-1,13,"14,1",UE Balkans
IRL,15,Irlande,Ireland,Irlanda,أيرلندا,ایرلند,15,1,16,"14,59",UE Balkans
AUT,16,Autriche,Austria,Austria,النمسا,اتریش,"15,33",-5,11,"14,04",UE Balkans
LUX,17,Luxembourg,Luxembourg,Luxemburgo,لوكسمبورغ,لوکزامبورگ,"15,66",0,17,"14,72",UE Balkans
CAN,18,Canada,Canada,Canadà,كندا,کانادا,"15,69",0,18,"15,28",Amériques
URY,19,Uruguay,Uruguay,Uruguay,أوروغواي,اروگويه,"16,06",1,20,"15,56",Amériques
SUR,20,Surinam,Suriname,Surinam,سورينام,سورینام,"16,38",1,21,"16,44",Amériques
AUS,21,Australie,Australia,Australia,أستراليا,استرالیا,"16,55",-2,19,"15,46",Asie-Pacifique
WSM,22,Samoa,Samoa,Samoa,ساموا,ساموآ,"18,25",0,22,"16,69",Asie-Pacifique
NAM,23,Namibie,Namibia,Namibia,ناميبيا,نامیبیا,"18,95",3,26,"20,24",Afrique
LVA,24,Lettonie,Latvia,Letonia,لاتفيا,لتوانی,"19,53",0,24,"19,63",UE Balkans
CPV,25,Cap-Vert,Cape Verde,Cabo Verde,الرأس الأخضر,کیپورد,"19,81",4,29,"20,39",Afrique
LIE,26,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,لیختن‌اشتاین,"20,49",4,30,"20,49",UE Balkans
GHA,27,Ghana,Ghana,Ghana,غانا,غنا,"20,81",-4,23,"18,41",Afrique
CYP,28,Chypre,Cyprus,Chipre,قبرص,قبرس,"21,74",-3,25,"19,85",UE Balkans
ESP,29,Espagne,Spain,España,إسبانيا,اسپانیا,"21,99",2,31,"20,51",UE Balkans
LTU,30,Lituanie,Lithuania,Lituania,ليتوانيا,لیتوانی,"22,06",6,36,"22,2",UE Balkans
ZAF,31,Afrique du Sud,South Africa,Sudàfrica,جنوب أفريقيا,آفریقای جنوبی,"22,19",-3,28,"20,39",Afrique
FRA,32,France,France,Francia,فرنسا,فرانسه,"22,21",1,33,"21,87",UE Balkans
GBR,33,Royaume-Uni,United Kingdom,Reino Unido,المملكة المتحدة,بریتانیا,"22,23",7,40,"23,25",UE Balkans
SVN,34,Slovénie,Slovenia,Eslovenia,سلوفينيا,اسلوانی,"22,31",-2,32,"21,69",UE Balkans
