ISO,FR_Country,2013,2014,2015,2016,2017,2018,2019,2020,Zone
AFG,Afghanistan,"37,36","37,07","37,44","37,75","39,46","37,28","36,55","37,7",Asie-Pacifique
AGO,Angola,"37,8","36,5","37,84","39,89","40,42","38,35","34,96","33,92",Afrique
ALB,Albanie,"30,88","29,92","28,77","29,92","29,92","29,49","29,84","30,25",UE Balkans
AND,Andorre,"6,82","6,82","19,87","19,87","21,03","22,21","24,63","23,23",UE Balkans
ARE,Émirats arabes unis,"33,49","36,03","36,73","36,73","39,39","40,86","43,63","42,69",MENA
ARG,Argentine,"25,67","25,27","26,11","25,09","25,07","26,05","28,30","28,78",Amériques
ARM,Arménie,"28,04","29,07","28,43","28,79","30,38","29,99","28,98","28,6",EEAC
AUS,Australie,"15,24","16,91","17,03","17,84","16,02","15,46","16,55","20,21",Asie-Pacifique
AUT,Autriche,"9,4","10,01","10,85","13,18","13,47","14,04","15,33","15,78",UE Balkans
AZE,Azerbaïdjan,"47,73","52,87","58,41","57,89","56,4","59,73","59,13","58,48",EEAC
BDI,Burundi,"38,02","40,5","42,93","54,1","55,78","55,26","52,89","55,33",Afrique
BEL,Belgique,"12,94","12,8","11,98","14,18","12,75","13,16","12,07","12,57",UE Balkans
BEN,Bénin,"28,33","28,83","29,24","28,97","30,32","30,16","31,74","35,11",Afrique
BFA,Burkina Faso,"23,7","24,45","23,79","22,66","23,85","23,33","24,53","23,47",Afrique
BGD,Bangladesh,"42,01","42,58","42,95","45,94","48,36","48,62","50,74","49,37",Asie-Pacifique
BGR,Bulgarie,"28,58","31,42","32,91","34,46","35,01","35,22","35,11","35,06",UE Balkans
BHR,Bahreïn,"62,75","58,26","58,69","54,86","58,88","60,85","61,31","60,13",MENA
BIH,Bosnie-Herzégovine,"26,86","26,86","27,51","28,45","27,83","27,37","29,02","28,51",UE Balkans
BLR,Bélarus,"48,35","47,82","47,98","54,32","52,43","52,59","51,66","49,75",EEAC
BLZ,Bélize,0,"17,05","18,54","20,61","23,43","24,55","27,50","27,5",Amériques
BOL,Bolivie,"32,8","31,04","31,29","31,78","33,88","32,45","35,38","35,37",Amériques
BRA,Brésil,"32,75","34,03","31,93","32,62","33,58","31,20","32,79","34,05",Amériques
BRN,Brunei,"35,45","35,45","36,76","53,85","53,72","51,48","51,48","49,65",Asie-Pacifique
BTN,Bhoutan,"28,42","30,73","32,65","30,73","30,73","30,73","29,81","28,9",Asie-Pacifique
BWA,Botswana,"22,91","22,91","22,91","22,91","24,93","25,29","25,09","23,56",Afrique
CAF,République centrafricaine,"26,61","33,13","33,84","33,6","36,12","35,25","47,27","42,87",Afrique
CAN,Canada,"12,69","10,99","10,99","15,26","16,53","15,28","15,69","15,29",Amériques
CHE,Suisse,"9,94","10,47","13,85","11,76","12,13","11,27","10,52","10,62",UE Balkans
CHL,Chili,"26,24","25,8",23,"19,23","20,53","22,69","25,65","27,31",Amériques
CHN,Chine,"73,07","72,91","73,55","80,96","77,66","78,29","78,92","78,48",Asie-Pacifique
CIV,Côte d'Ivoire,"29,77","31,63","30,45","30,17","30,42","30,08","29,52","28,94",Afrique
CMR,Cameroun,"34,78","38,13","39,63","40,53","41,59","40,92","43,32","43,28",Afrique
COD,RD Congo,"41,66","44,64","44,31","50,97","52,67","51,60","51,71","49,09",Afrique
COG,Congo,"28,2","29,44",33,"35,84","36,73","35,42","36,04","36,56",Afrique
COL,Colombie,"37,48","36,68","39,08","44,11","41,47","41,03","42,82","42,66",Amériques
COM,Comores,"24,52","24,52","24,52","24,33","24,33","25,30","27,91","29,77",Afrique
CPV,Cap-Vert,"14,33","14,32","20,69","19,82","18,02","20,39","19,81","20,15",Afrique
CRI,Costa Rica,"12,08","12,23","12,26","11,1","11,93","14,01","12,24","10,53",Amériques
CTU,Chypre (partie Nord),"29,34","29,54","28,33","29,54","29,88","29,59","29,67","29,79",UE Balkans
CUB,Cuba,"71,64","70,92","70,21","70,23","71,75","68,90","63,81","63,81",Amériques
CYP,Chypre,"13,83","14,45","16,52","18,26","19,79","19,85","21,74","20,45",UE Balkans
CZE,République tchèque,"10,17","10,07","11,62","16,66","16,91","21,89","24,89","23,57",UE Balkans
DEU,Allemagne,"10,24","10,23","11,47","14,8","14,97","14,39","14,60","12,16",UE Balkans
DJI,Djibouti,"67,4","70,34","71,04","70,9","70,54","70,77","71,36","76,73",Afrique
DNK,Danemark,"7,08","7,43","8,24","8,89","10,36","13,99","9,87","8,13",UE Balkans
DOM,République dominicaine,"28,34","27,17","27,31","27,9","26,76","26,79","27,90","27,9",Amériques
DZA,Algérie,"36,54","36,26","36,63","41,69","42,83","43,13","45,75","45,52",MENA
ECU,Equateur,"34,69","31,16","33,65","33,21","33,64","30,56","31,88","32,62",Amériques
EGY,Égypte,"48,66","51,89","50,17","54,45","55,78","56,72","56,47","56,82",MENA
ERI,Érythrée,"84,83","84,83","84,86","83,92","84,24","84,24","80,26","83,5",Afrique
ESP,Espagne,"20,5","20,63","19,95","19,92","18,69","20,51","21,99","22,16",UE Balkans
EST,Estonie,"9,26","9,63","11,19","14,31","13,55","14,08","12,27","12,61",UE Balkans
ETH,Éthiopie,"39,57","40,58","41,83","45,13","50,34","50,17","35,11","32,82",Afrique
FIN,Finlande,"6,38","6,4","7,52","8,59","8,92","10,26","7,90","7,93",UE Balkans
FJI,Fidji,"32,69","32,57","31,28","29,37","28,64","26,55","27,18","27,41",Asie-Pacifique
FRA,France,"21,6","21,89","21,15","23,83","22,24","21,87","22,21","22,92",UE Balkans
